Channel,Country,Stream
YOU FM-Livestream,Germany,http://metafiles.gl-systemhaus.de/hr/youfm_2.m3u
YOU FM-Clubstream,Germany,http://metafiles.gl-systemhaus.de/hr/youfm_club.m3u
YOU FM-Rockstream,Germany,http://metafiles.gl-systemhaus.de/hr/youfm_rock.m3u
YOU FM-Blackstream,Germany,http://metafiles.gl-systemhaus.de/hr/youfm_black.m3u
hr-info,Germany,http://metafiles.gl-systemhaus.de/hr/hrinfo_2.m3u
Jam FM,Germany,http://jamfm.hoerradar.de/jamfm-mp3-192.m3u
JazzRadio 101.9,Germany,http://public.radio.co/stations/s774887f7b/m3u
Kiel FM,Germany,http://radio.oksh.de:8000/kielfm.mp3.m3u
Kiss FM,Germany,http://www.listenlive.eu/kissfmde.m3u
Kiss FM RnB,Germany,http://www.listenlive.eu/kissfmde-rnb.m3u
Kiss FM Raps,Germany,http://www.listenlive.eu/kissfmde-raps.m3u
Kiss FM Electro,Germany,http://www.listenlive.eu/kissfmde-electro.m3u
Kiss FM Fresh Beats,Germany,http://www.listenlive.eu/kissfmde-freshbeats.m3u
Klassik Radio,Germany,http://stream.klassikradio.de/live/mp3-128/stream.klassikradio.de/play.m3u
Klassik Radio Lounge,Germany,http://stream.klassikradio.de/lounge/mp3-128/stream.klassikradio.de/play.m3u
Klassik Radio Movie,Germany,http://stream.klassikradio.de/movie/mp3-128/stream.klassikradio.de/play.m3u
Klassik Radio Opera,Germany,http://stream.klassikradio.de/opera/mp3-128/stream.klassikradio.de/play.m3u
Klassik Radio Smooth,Germany,http://stream.klassikradio.de/smooth/mp3-128/stream.klassikradio.de/play.m3u
Klassik Radio Brazil,Germany,http://stream.klassikradio.de/brazil/mp3-128/stream.klassikradio.de/play.m3u
Klassik Radio Nature,Germany,http://stream.klassikradio.de/nature/mp3-128/stream.klassikradio.de/play.m3u
Klassik Radio New Classics,Germany,http://stream.klassikradio.de/newclassics/mp3-128/stream.klassikradio.de/play.m3u
Klassik Radio Pure Bach,Germany,http://stream.klassikradio.de/purebach/mp3-128/stream.klassikradio.de/play.m3u
Kölncampus,Germany,http://koelncampus.uni-koeln.de:8001/listen.pls
LandesWelle Thüringen,Germany,http://stream.hoerradar.de/lwtmp3.m3u
LeineHertz 106einhalb,Germany,http://www.leinehertz.net/player/106einhalb_mp3.pls
LOHRO 90.2FM,Germany,http://stream.lohro.de:8000/lohro.m3u
LORA München,Germany,http://live.lora924.de:8000/loramp3.mp3.m3u
m94.5,Germany,http://stream.m945.mwn.de/m945-hq.mp3.m3u
MDR 1 Radio Sachsen,Germany,http://avw.mdr.de/livestreams/mdr1_radio_sachsen_live_128.m3u
MDR 1 Radio Sachsen-Anhalt,Germany,http://avw.mdr.de/livestreams/mdr1_radio_sachsen-anhalt_live_128.m3u
MDR 1 Radio Thüringen,Germany,http://avw.mdr.de/livestreams/mdr1_radio_thueringen_live_128.m3u
MDR JUMP Livestream,Germany,http://www.jumpradio.de/static/webchannel/jump_live_channel_low.m3u
MDR JUMP In The Mix Channel,Germany,http://www.jumpradio.de/static/webchannel/jump_inthemix_channel_64.m3u
MDR JUMP Rock Channel,Germany,http://www.jumpradio.de/static/webchannel/jump_rock_channel_64.m3u
MDR JUMP Trend Channel,Germany,http://www.jumpradio.de/static/webchannel/jump_trend_channel_64.m3u
MDR AKTUELL Livestream,Germany,http://avw.mdr.de/livestreams/mdr_aktuell_live_56.m3u
MDR KULTUR Livestream,Germany,http://avw.mdr.de/livestreams/mdr_kultur_live_56.m3u
MDR KULTUR Klassik im Konzert,Germany,http://avw.mdr.de/livestreams/mdr_kultur_klassik_56.m3u
MDR KULTUR Folk im Konzert,Germany,http://avw.mdr.de/livestreams/mdr_kultur_folk_56.m3u
MDR KULTUR FIGARINO,Germany,http://avw.mdr.de/livestreams/mdr_kultur_figarino_56.m3u
MDR KLASSIK Livestream,Germany,http://avw.mdr.de/livestreams/mdr_klassik_live_56.m3u
MDR SCHLAGERWELT Sachsen,Germany,http://avw.mdr.de/livestreams/mdrschlagerwelt/mdrschlagerwelt_sachsen_56_mp3.m3u
MDR SCHLAGERWELT Sachsen-Anhalt,Germany,http://avw.mdr.de/livestreams/mdrschlagerwelt/mdrschlagerwelt_sachsen-anhalt_56_mp3.m3u
MDR SCHLAGERWELT Thüringen,Germany,http://avw.mdr.de/livestreams/mdrschlagerwelt/mdrschlagerwelt_thueringen_56_mp3.m3u
MDR SPUTNIK OnAir Channel,Germany,http://www.sputnik.de/m3u/live.lo.m3u
MDR SPUTNIK Black Channel,Germany,http://www.sputnik.de/m3u/black.lo.m3u
MDR SPUTNIK Club Channel,Germany,http://www.sputnik.de/m3u/club.lo.m3u
MDR SPUTNIK Insomnia Channel,Germany,http://www.sputnik.de/m3u/insomnia.lo.m3u
MDR SPUTNIK Popkult Channel,Germany,http://www.sputnik.de/m3u/popkult.lo.m3u
MDR SPUTNIK Rock Channel,Germany,http://www.sputnik.de/m3u/rock.lo.m3u
MDR SPUTNIK Soundcheck Channel,Germany,http://www.sputnik.de/m3u/soundcheck.lo.m3u
Metropol FM,Germany,http://mfm1.webradiostreaming.de:8200/listen.pls
MixNation,Germany,http://www.mixnation.de/listen.pls
multicult.fm,Germany,http://radiostream.de/stream/36525.m3u
NE-WS 89.4,Germany,http://edge.live.mp3.mdn.newmedia.nacamar.net/ps-news894/livestream.mp3.m3u
NDR 90.3,Germany,http://www.ndr.de/resources/metadaten/audio/m3u/ndr903.m3u
NDR 1 Niedersachsen,Germany,http://www.ndr.de/resources/metadaten/audio/m3u/ndr1niedersachsen.m3u
NDR 1 Radio MV,Germany,http://www.ndr.de/resources/metadaten/audio/m3u/ndr1radiomv.m3u
NDR 1 Welle Nord,Germany,http://www.ndr.de/resources/metadaten/audio/m3u/ndr1wellenord.m3u
NDR 2,Germany,http://www.ndr.de/resources/metadaten/audio/m3u/ndr2.m3u
NDR Kultur,Germany,http://www.ndr.de/resources/metadaten/audio/m3u/ndrkultur.m3u
NDR Info,Germany,http://www.ndr.de/resources/metadaten/audio/m3u/ndrinfo.m3u
NDR Info Spezial,Germany,http://ndrstream.ic.llnwd.net/stream/ndrstream_ndrinfo_spezial_hi_mp3.m3u
NDR Blue,Germany,http://www.ndr.de/resources/metadaten/audio/m3u/ndrblue.m3u
N-Joy Radio,Germany,http://www.ndr.de/resources/metadaten/audio/m3u/n-joy.m3u
Die Neue Welle,Germany,http://live.meine-neue-welle.de/dnw_128.mp3.m3u
Nordwestradio,Germany,http://gffstream.ic.llnwd.net/stream/gffstream_mp3_w50a.m3u
Nova Radio,Germany,http://www.novaradio.de/stream.m3u
